drive_file_id,name,mime_type,modified_time,original_size,source_url
1BStGEVOcQY9ej63atLK6v_cluDW8S_yx,"iAAi_COUNTER_Paper_v10.38.pdf",application/pdf,2026-05-18T17:50:59.625Z,5025900,https://drive.google.com/file/d/1BStGEVOcQY9ej63atLK6v_cluDW8S_yx/view
1gjO3qRp9qAgeMi3T9Ra-PhfF25NCdORx,"iAAI-Vehicle-Catalogue-Card-Deck.pdf",application/pdf,2026-05-18T16:55:03.754Z,447508011,https://drive.google.com/file/d/1gjO3qRp9qAgeMi3T9Ra-PhfF25NCdORx/view
1n8lW-OXyjVSOMbwZltOPCH7xn_GZdjLf,"IAAI GAC Tech deck.pptx",application/vnd.openxmlformats-officedocument.presentationml.presentation,2026-05-18T16:44:29.616Z,3061554,https://docs.google.com/presentation/d/1n8lW-OXyjVSOMbwZltOPCH7xn_GZdjLf/edit
1iKw0B64ZYdIkKf3El4uIMm9el3Io_pyL,"iAAi_Compensation_Framework.pdf",application/pdf,2026-05-18T16:44:25.364Z,317890,https://drive.google.com/file/d/1iKw0B64ZYdIkKf3El4uIMm9el3Io_pyL/view
1rvIcPSSL_Q1knNtdvlpxXpjWH0ziJSFo,"IAAI Investor Pitch.pptx",application/vnd.openxmlformats-officedocument.presentationml.presentation,2026-05-18T16:43:12.480Z,3933591,https://docs.google.com/presentation/d/1rvIcPSSL_Q1knNtdvlpxXpjWH0ziJSFo/edit
17p_pjlj5eV9c0HvoIFvt6GEYjhgxDjJ0,"iAAi_COUNTER_Paper_v10.38 copy.docx",application/vnd.openxmlformats-officedocument.wordprocessingml.document,2026-05-18T16:42:46.056Z,63534344,https://docs.google.com/document/d/17p_pjlj5eV9c0HvoIFvt6GEYjhgxDjJ0/edit
